0,A1234,Televisor LCD 32 pulgadas,347.89
1,B2345,Cafetera electrica,703.45
2,C3456,Licuadora,556.12
3,D4567,Horno electrico,217.01
4,E5678,Lavadora,423.76
5,F6789,Aspiradora,648.56
6,G7890,Batidora,865.44
7,H8901,Plancha,431.78
8,I9012,Tostadora,572.35
9,J0123,Microondas,823.91
10,K1234,Refrigerador,953.08
11,L2345,Secadora,356.72
12,M3456,Cocina electrica,183.24
13,N4567,Ventilador,671.46
14,O5678,Enfriador de aire,791.34
15,P6789,Maquina de coser,927.11
16,Q7890,Asador electrico,718.83
17,R8901,Purificador de aire,496.01
18,S9012,Estufa electrica,656.29
19,T0123,Calefactor,851.23
20,U1234,Plancha para el cabello,965.03
21,V2345,Batidora de mano,184.42
22,W3456,Proyector,420.87
23,X4567,Humidificador,376.06
24,Y5678,Deshumidificador,894.09
25,Z6789,Exprimidor de jugos,164.32
26,A2345B,Maquina de afeitar electrica,891.14
27,B3456C,Cafetera expres,700.65
28,C4567D,Olla arrocera,639.79
29,D5678E,Freidora electrica,827.66
30,E6789F,Sandwichera,426.72
31,F7890G,Plancha para ropa a vapor,282.47
32,G8901H,Robot de cocina,240.34
33,H9012I,Picadora de alimentos,521.59
34,I0123J,Batidora de vaso,949.13
35,J1234K,Hervidor de agua electrico,149.21
36,K2345L,Tetera electrica,319.46
37,L3456M,Parrilla electrica,486.17
38,M4567N,Hornilla electrica,417.94
39,N5678O,Dispensador de agua,306.87
40,O6789P,Nevera portatil,974.91
41,P7890Q,Tostadora de pan con ranuras extra anchas,981.72
42,Q8901R,Cafetera de goteo programable,735.55
43,R9012S,Horno tostador con conveccion,611.99
44,S0123T,Maquina de palomitas,583.13
45,T1234U,Asador de pavo,411.22
46,U2345V,Cortina electrica,399.68
47,V3456W,Calentador de toallas,987.29
48,W4567X,Extractor de jugos,791.64
49,X5678Y,Molinillo de cafe,220.01
50,DFG89,Robot de cocina KitchenAid,633.52
